epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,25957.4,1.24047,0.85024,1.25742,0.75072,0.69736,0.76901,0.45834,1.21965,0.96006,1.18711,0.00109,0.00109,0.00109
92,26250.3,1.22526,0.84048,1.25454,0.74704,0.69856,0.76846,0.45856,1.21998,0.95902,1.18726,0.000991,0.000991,0.000991
93,26534.2,1.20914,0.82659,1.24526,0.74848,0.69896,0.76901,0.45867,1.22009,0.95774,1.1872,0.000892,0.000892,0.000892
94,26821.1,1.20641,0.80864,1.24787,0.74758,0.69998,0.7695,0.45889,1.22003,0.95674,1.18742,0.000793,0.000793,0.000793
95,27115.8,1.20259,0.8083,1.23816,0.74829,0.70011,0.76959,0.4589,1.21972,0.95558,1.18744,0.000694,0.000694,0.000694
96,27396.2,1.19295,0.8003,1.23026,0.74739,0.70178,0.76997,0.45911,1.21977,0.95403,1.18793,0.000595,0.000595,0.000595
97,27675.4,1.1857,0.78016,1.21763,0.74703,0.70275,0.77003,0.45914,1.21967,0.95342,1.18805,0.000496,0.000496,0.000496
98,27956.5,1.17956,0.77507,1.21849,0.74724,0.70183,0.76991,0.45919,1.21951,0.9529,1.18786,0.000397,0.000397,0.000397
99,28237.3,1.1692,0.76901,1.20926,0.74839,0.70176,0.76995,0.45971,1.21976,0.95188,1.18795,0.000298,0.000298,0.000298
100,28519.6,1.17145,0.76489,1.21521,0.74509,0.70555,0.76969,0.45926,1.21985,0.9506,1.18838,0.000199,0.000199,0.000199
